question,category
你好,你好
我想看辆车,看车
我要看辆车,看车
我要买辆车,看车
我想买辆车,看车
我要买车,看车
我要看车,看车
给我看辆长安CS15的车,SEARCH
我想看手动舒适版的,SEARCH
20万到30万的车有哪些推荐的,SEARCH
我想看辆二三十万的车,SEARCH
我想看辆20万左右的车,SEARCH
我要买一辆中型SUV，最近有什么新款没有,SEARCH
你这有长安的车么？,SEARCH
我想看一辆长安的车,SEARCH
我想看一辆5座的车,SEARCH
我想看辆长安的车,SEARCH
我想看辆丰田的车,SEARCH
你这有没有长安CS15的车,SEARCH
目前都有什么车在卖,SEARCH
给我看一辆长安CS15的车,SEARCH
我想看长安CS15的车,SEARCH
我要汉兰达,SEARCH
我要宝马,SEARCH
你这有CS15的车么,SEARCH
给我看辆SUV的车,SEARCH
你知道北京现代么,SEARCH
途观来一个,SEARCH
这辆车多少钱,QUERY
多少钱,QUERY
价格是多少,QUERY
都有什么颜色,QUERY
都有什么类型的,QUERY
都有哪些厂商,QUERY
都有什么型号的？,QUERY
什么型号,QUERY
都有什么,QUERY
排量多少,QUERY
手动档还是自动档,QUERY
最高车速是多少,QUERY
最大车速是多少,QUERY
什么类型的,QUERY
多少个座位,QUERY
支持自动停车功能么,QUERY
有没有儿童安全座椅接口,QUERY
有没有智能操作系统,QUERY
空调的排风口在哪里,QUERY
有没有后排空调的排风口,QUERY
座椅的材质是什么,QUERY
有没有侧边雷达,QUERY
油耗是多少,QUERY
这辆车的油耗是多少,QUERY
质保时间有多长,QUERY
具体有哪些型号的,QUERY
有哪些版本的,QUERY
这辆车的安全性怎么样,FUZZYQUERY
各自的配置是什么样,FUZZYQUERY
有什么安全装备,FUZZYQUERY
内饰是什么样的,FUZZYQUERY
问下长安CS15的车现在怎么卖,SEARCHQUERY
长安CS15的价格是多少,SEARCHQUERY
长安CS15的车都有哪些款式的,SEARCHQUERY
长安汽车都有哪些型号,SEARCHQUERY
2015款汉兰达多少钱,SEARCHQUERY
奔驰e级多少钱,SEARCHQUERY
20万,PARA
20,PARA
长安,PARA
丰田,PARA
奔奔,PARA
CS15,PARA
5座,PARA
中型SUV,PARA
SUV,PARA
什么是电控涡轮增压器,TERMINOLOGY
什么是丰田,TERMINOLOGY
电控涡轮增压器是什么,TERMINOLOGY
丰田是什么,TERMINOLOGY
解释下电控涡轮增压器,TERMINOLOGY
解释下丰田,TERMINOLOGY
【收到不支持的消息类型，暂无法显示】,收到不支持的消息类型
你这有没有长安CS15的车,YOUQUERY
这辆车的马力怎么样,QUERY
有白色的吗,ISQUERY
有没有白色的,ISQUERY
有儿童安全座椅么,ISQUERY
有没有儿童安全座椅,ISQUERY
有没有自动停车功能,ISQUERY
是不是SUV,ISQUERY
支不支持后排独立空调,ISQUERY
具体有哪些型号的,QUERY
是手动挡还是自动挡的,QUERY
CS15手动舒适版是手动挡还是自动挡的,QUERY
有优惠么,有优惠么
百公里加速是多少,QUERY
油耗是多少,QUERY
油耗有点太高了吧,油耗太高
那怎样可以试车呢,如何试车
帮我安排下试车,安排试车